Listing_ID;Layout;Condition;Floor_Space;Price;Fees;Refundable_security_deposit;Town;Metropolitan_district;Street;Ownership_Type;Building_Type;PENB;Furnishing_and_Fittings;Floor;Balcony;Terrace;Cellar;Loggia;Parking;Lift;Garage;New_building;Available_from;Heating;Total_number_of_floors;Renovation;Design;Age
477971;1 bedroom with open-plan kitchen;;73 m²;CZK 15,400;CZK 3,000;CZK 32,000;Mladá Boleslav;Středočeský Region;Staroměstské náměstí;Personal;Brick building;G;Furnished;2;Yes;No;No;No;Yes;No;No;;15. 11. 2021;Gas boiler;Middle floor;Overall;Premium materials and solutions;1 to 10 years years
629887;Small studio;Excellent;38 m²;CZK 12,500;CZK 2,500;CZK 15,000;České Budějovice 1;Jihočeský Region;Široká;Personal;Brick building;C;Furnished;3;No;No;No;No;No;No;No;;01. 08. 2021;;;;Premium materials and solutions;
689775;3 bedroom;Good;105 m²;CZK 23,000;CZK 5,000;CZK 23,000;Prague;Holešovice;Schnirchova;Cooperative;Brick building;B;Unfurnished;3;No;No;Yes;No;No;Yes;No;;01. 01. 2022;;;;;
694042;1 bedroom with open-plan kitchen;Good;43 m²;CZK 12,500;;CZK 20,000;Vinohrady;;Prague;Personal;Brick building;G;;;Yes;No;No;No;No;No;No;;Ihned;;;;;
694043;1 bedroom with open-plan kitchen;Good;41 m²;CZK 12,000;CZK 4,000;CZK 20,000;Prague;Bubeneč;Šestidomí;Personal;Brick building;D;Partially furnished;1;No;No;Yes;No;No;No;No;;28. 11. 2021;;;;;
680054;Studio;;45 m²;CZK 36,000;CZK 12,000;;Prague;Vinohrady;Mánesova;;;;Furnished;1;No;No;No;No;No;Yes;No;;28. 11. 2021;;;;;
680018;3 bedroom with open-plan kitchen;;90 m²;CZK 38,250;CZK 12,750;;Prague;Smíchov;Stroupežnického;;;;Furnished;2;No;No;No;No;No;Yes;No;;28. 11. 2021;;;;;
693052;Studio;Good;36 m²;CZK 9,000;CZK 2,500;CZK 15,000;Prague;Bohnice;Čimická;Cooperative;Prefab concrete building;G;Furnished;3;No;No;No;No;No;Yes;No;;27. 11. 2021;;;;;
691087;1 bedroom with open-plan kitchen;Excellent;49 m²;CZK 16,990;CZK 900;CZK 30,000;Prague;Žižkov;Štítného;Personal;Other;C;Partially furnished;2;No;No;No;No;No;Yes;No;;30. 11. 2021;Central heating;Middle floor;Overall;Premium materials and solutions;1 to 10 years years
586426;Small studio;Excellent;25 m²;CZK 7,200;CZK 2,300;CZK 9,500;Liberec;Liberecký Region;Březová alej;Personal;Prefab concrete building;G;Unfurnished;3;Yes;No;Yes;No;No;Yes;No;;01. 12. 2021;Central heating;Middle floor;Overall;Standard materials and solutions;
445111;Studio;;33 m²;CZK 8,000;CZK 2,000;CZK 20,000;Jihomoravský Region;;Lipůvka;Personal;Brick building;C;Partially furnished;1;No;Yes;Yes;No;No;No;No;;01. 01. 2022;Electric boiler;Ground floor;;;;30 m²
